CTAB,Au,AA,GSH,g-factor,Batch,Well,Cluster,L_nm,d_nm,w_nm,theta_deg,measured
14.386912,0.267475,10.618938,0.003123,0.14259,1,2,,,,,,
18.260235,0.334969,8.637146,0.009702,0.10105,1,3,3-large distortion,,,,,no
29.53271,0.190743,11.944931,0.002343,0.02647,1,4,,,,,,
11.777981,0.21919,14.233681,0.001422,0.00819,1,5,0-small-grooved cube,,,,,
19.585796,0.18879,5.30593,0.005234,0.01962,1,6,,,,,,
29.751007,0.368227,6.214054,0.007143,0.01379,1,7,,,,,,
13.962822,0.114453,7.319064,0.008914,0.00583,1,8,0-new structure (inverted chirality),,,,,
28.234304,0.23352,11.428969,0.007146,0.00395,1,9,0-new structure (normal chirality),,,,,
24.229244,0.125381,13.07571,0.006276,0.00192,2,2,0-new structure (normal chirality),,,,,
22.456345,0.30084,10.165047,0.008117,0.02316,2,3,,,,,,
26.157228,0.4,10.361018,0.004037,0.0869,2,4,2-432,,,,,no
15.960346,0.157739,9.671894,0.007565,0.00483,2,5,,,,,,
10.185624,0.171617,7.98742,0.003366,0.04499,2,6,0-small-grooved cube,,,,,
25.198912,0.13917,14.931929,0.009354,0.00215,2,7,0-new structure (inverted chirality),,,,,
21.200634,0.31981,13.800185,0.002035,0.04614,2,8,0-small-grooved cube,,,,,
10.998981,0.280687,12.343538,0.004563,0.15815,2,9,,,,,,
17.312541,0.351583,9.136357,0.003611,0.15059,3,2,,,,,,
12.817019,0.10129,13.60326,0.00103,0.00153,3,3,0-small-grooved cube,,,,,
21.739428,0.381539,7.02957,0.005928,0.12646,3,4,2-432,167.7,65.9,26.0,38.0,yes
27.156643,0.250062,12.559454,0.002734,0.08563,3,5,1-432,141.4,55.6,25.7,36.3,yes
25.842171,0.206286,8.969851,0.008508,0.00336,3,6,0-new structure (normal chirality),,,,,
17.782202,0.311357,8.195677,0.006691,0.18453,3,7,,,,,,
23.240148,0.341049,14.545627,0.004783,0.20393,3,8,2-432,162.2,85.4,32.2,41.6,yes
16.550536,0.16429,5.710887,0.009173,0.00305,3,9,0-new structure (inverted chirality),,,,,
15.246807,0.244599,6.727258,0.004293,0.15884,4,2,,,,,,
27.754726,0.28787,13.260798,0.005625,0.06679,4,3,0-small-grooved cube,,,,,
18.881014,0.128394,10.827485,0.007934,0.00398,4,4,0-new structure (inverted chirality),,,,,
18.616789,0.388778,7.614081,0.004994,0.14347,4,5,,,,,,
20.207115,0.147544,5.0,0.001823,0.00085,4,6,0-pure cube,,,,,
22.783295,0.226726,12.21199,0.01,0.0053,4,7,0-new structure (normal chirality),,,,,
26.697591,0.259701,5.44417,0.006876,0.00105,4,8,0-pure cube,,,,,
14.841342,0.346728,11.126955,0.005698,0.23559,4,9,3-large distortion,169.5,84.7,37.4,44.5,yes
23.629824,0.18003,12.799918,0.002464,0.0741,5,2,1-432,134.7,58.0,26.4,36.6,yes
20.722483,0.356521,10.493836,0.003807,0.14411,5,3,,,,,,
19.756943,0.327082,11.679464,0.005429,0.20638,5,4,,,,,,
12.181577,0.37533,9.830433,0.00288,0.08122,5,5,,,,,,
13.46935,0.130977,9.543899,0.006458,0.00387,5,6,,,,,,
15.574217,0.198474,9.307595,0.001586,0.00803,5,7,0-small-grooved cube,,,,,
25.5244,0.16785,6.388588,0.008735,0.00143,5,8,0-new structure (normal chirality),,,,,
28.78301,0.360358,14.195902,0.00906,0.0152,5,9,0-432,,,,,
24.800045,0.215106,8.540798,0.006084,0.00423,6,2,0-new structure (normal chirality),,,,,
12.976096,0.371094,5.958953,0.007746,0.09158,6,3,,,,,,
29.158638,0.117623,7.871654,0.00221,0.00278,6,4,0-pure cube,,,,,
20.45402,0.307672,11.290313,0.008332,0.09922,6,5,,,,,,
14.600508,0.273635,11.020296,0.005793,0.23953,6,6,2-432,161.6,82.8,35.1,39.2,yes
16.929473,0.331601,6.28677,0.007392,0.12327,6,7,2-432,165.5,73.9,29.5,43.7,yes
10.642766,0.316782,8.831228,0.003009,0.09299,6,8,1-432,,,,,no
21.969938,0.295073,11.504072,0.004166,0.17622,6,9,,,,,,
12.485008,0.236907,9.968219,0.003478,0.16786,7,2,1-432,153.5,82.3,39.0,35.4,yes
14.159187,0.255044,6.568134,0.005342,0.18142,7,3,1-432,156.9,84.2,42.0,40.0,yes
19.096849,0.153139,7.471007,0.004425,0.02804,7,4,0-432,,,,,
30.0,0.175335,8.340229,0.005108,0.00118,7,5,,,,,,
16.144636,0.106846,9.400242,0.001641,0.00471,7,6,,,,,,
11.973752,0.144028,14.820657,0.00981,0.00505,7,7,,,,,,
28.962764,0.37792,13.991194,0.009273,0.01543,7,8,0-branching close to C3,,,,,
11.359476,0.239598,10.110768,0.009562,0.09978,7,9,,,,,,
27.406518,0.278469,12.085642,0.007038,0.01028,8,2,0-new structure (normal chirality),,,,,
23.962132,0.323947,11.888529,0.004879,0.13966,8,3,2-432,166.7,71.5,26.1,39.5,yes
18.046782,0.209793,13.385621,0.004932,0.11696,8,4,1-432,,,,,
28.49593,0.364348,5.158616,0.001619,0.00047,8,5,0-pure cube,,,,,
13.627653,0.282111,11.781183,0.001278,0.00468,8,6,0-small-grooved cube,,,,,
24.492054,0.393098,13.48325,0.006125,0.09447,8,7,3-branching,176.3,54.3,25.4,85.1,yes
15.033428,0.252413,6.484268,0.00467,0.14967,8,8,1-432,154.1,76.6,37.1,35.5,yes
21.463613,0.263877,14.731789,0.005643,0.1447,8,9,,,,,,
10.0,0.396716,12.479392,0.007253,0.04171,9,2,3-branching,198.3,56.8,30.8,91.0,yes
10.46946,0.134645,6.870562,0.00387,0.02479,9,3,0-small-grooved cube,,,,,
11.506174,0.230299,6.065136,0.006376,0.18832,9,4,2-432,156.6,83.2,37.2,37.6,yes
12.363319,0.195563,10.716364,0.001142,0.00334,9,5,0-small-grooved cube,,,,,
23.482895,0.121276,14.427805,0.002269,0.01307,9,6,0-small-grooved cube,,,,,
22.090374,0.222439,11.193609,0.005523,0.05009,9,7,0-432,,,,,
14.777369,0.184872,5.838168,0.006509,0.04109,9,8,0-432,,,,,
16.36553,0.291179,8.7325,0.004387,0.17948,9,9,,,,,,
19.433201,0.362729,5.572227,0.007665,0.07692,10,2,0-small-grooved cube,,,,,
26.442986,0.169818,11.589325,0.008973,0.00162,10,3,,,,,,
17.567311,0.385187,6.11557,0.006803,0.11,10,4,,,,,,
19.95926,0.111154,13.285738,0.002573,0.01181,10,5,0-small-grooved cube,,,,,
11.573731,0.303811,7.711353,0.0099,0.11614,10,6,3-branching,170.9,50.2,28.5,89.1,yes
18.153799,0.262345,7.170869,0.002644,0.01951,10,7,0-small-grooved cube,,,,,
28.040096,0.270657,14.061792,0.005148,0.06823,10,8,0-small-grooved cube,,,,,
23.010865,0.160046,5.048018,0.001749,0.00142,10,9,,,,,,
