²¨³¤(nm),0312-432-1-2 - RawData,0312-432-1-3 - RawData,0312-432-1-4 - RawData,0312-432-1-5 - RawData,0312-432-1-6 - RawData,0312-432-1-7 - RawData,0312-432-1-8 - RawData,0312-432-1-9 - RawData,0312-432-2-2 - RawData,0312-432-2-3 - RawData,0312-432-2-4 - RawData,0312-432-2-5 - RawData,0312-432-2-6 - RawData,0312-432-2-7 - RawData,0312-432-2-8 - RawData,0312-432-2-9 - RawData,20260313-Step2 octa-432-3-2 - RawData,20260313-Step2 octa-432-3-3 - RawData,20260313-Step2 octa-432-3-4 - RawData,20260313-Step2 octa-432-3-5 - RawData,20260313-Step2 octa-432-3-6 - RawData,20260313-Step2 octa-432-3-7 - RawData,20260313-Step2 octa-432-3-8 - RawData,20260313-Step2 octa-432-3-9 - RawData,0313-432-4-2 - RawData,0313-432-4-3 - RawData,0313-432-4-4 - RawData,0313-432-4-5 - RawData,0313-432-4-6 - RawData,0313-432-4-7 - RawData,0313-432-4-8 - RawData,0313-432-4-9 - RawData,263014-432-5-TESTAU-2 - RawData,263014-432-5-TESTAU-3 - RawData,263014-432-5-TESTAU-4 - RawData,263014-432-5-TESTAU-5 - RawData,263014-432-5-TESTAU-6 - RawData,263014-432-5-TESTAU-7 - RawData,263014-432-5-TESTAU-8 - RawData,263014-432-5-TESTAU-9 - RawData,0316-432-6-2 - RawData,0316-432-6-3 - RawData,0316-432-6-4 - RawData,0316-432-6-5 - RawData,0316-432-YIBANNONGDU-6-6 - RawData,0316-432-6-7 - RawData,0316-432-6-8 - RawData,0316-432-6-9 - RawData,0316-432-7-2 - RawData,0316-432-7-3 - RawData,0316-432-7-4 - RawData,0316-432-7-5 - RawData,0316-432-7-6 - RawData,0316-432-7-7 - RawData,0316-432-7-8 - RawData,0316-432-7-9 - RawData,0316-432-8-2 - RawData,0316-432-8-3 - RawData,0316-432-8-4 - RawData,0316-432-8-5 - RawData,0316-432-8-6 - RawData,0316-432-8-7 - RawData,0316-432-8-8 - RawData,0316-432-8-9 - RawData,0317-432-9-2 - RawData,0317-432-9-3 - RawData,0317-432-9-4 - RawData,0317-432-9-5 - RawData,0317-432-9-6 - RawData,0317-432-9-7 - RawData,0317-432-9-8 - RawData,0317-432-9-9 - RawData,0317-432-10-2 - RawData,0317-432-10-3 - RawData,0317-432-10-4 - RawData,0317-432-10-5 - RawData,0317-432-10-6 - RawData,0317-432-10-7 - RawData,0317-432-10-8 - RawData,0317-432-10-9 - RawData
400,-0.008185152,-0.003328509,-0.001780147,-0.000942157,-0.001498836,-0.000702527,0.00025863759490376333,-0.000266637,5.7206481380362805e-05,-0.0012874,-0.00330044,0.00020462878973362145,-0.00376443,0.00010557727175384634,-0.002923603,-0.007666101,-0.007136232,-0.00019172,-0.004357187,-0.004588159,-0.000156101,-0.006752361,-0.006093908,0.00010063994246263845,-0.008122056,-0.003314521,0.00025026325413437964,-0.005419113,-4.81E-05,-0.000274188,-0.000116173,-0.007068519,-0.004681051,-0.005917285,-0.006204,-0.004894184,-0.000386465,-0.000805568,-1.81E-05,-0.000773371,-0.000288972,-0.003916343,-0.000203529,-0.003269308,-0.008476391,-0.005019085,-0.005961857,-0.007280736,-0.009670838,-0.009461093,-0.002173689,-5.53E-05,-0.000415758,0.0001506329372718676,-0.000731326,-0.004279839,-0.00064151,-0.005109923,-0.006888079,-0.000126024,-0.000473382,-0.002530703,-0.008106466,-0.005961469,-0.000820948,-0.002086535,-0.009732163,-0.000469929,-0.001092895,-0.002959512,-0.002949763,-0.008402266,-0.002710313,-0.000158328,-0.004051743,-0.001004291,-0.002945763,-0.001525628,-0.003299983,-0.00011977
402,-0.008197978,-0.00336324,-0.001772913,-0.000936844,-0.001495757,-0.000705895,0.00024821448743423405,-0.0002588,5.3369359768664706e-05,-0.001297425,-0.003321697,0.00019273476181001176,-0.003735875,9.731739396182451e-05,-0.002927927,-0.007722694,-0.007169691,-0.000205093,-0.004383089,-0.004595897,-0.000157237,-0.006813755,-0.0061518,9.842254024698478e-05,-0.008143573,-0.003336139,0.000248427542689343,-0.005463146,-5.39E-05,-0.000276842,-0.000121397,-0.00714683,-0.004664891,-0.005929068,-0.00626014,-0.004935142,-0.000382261,-0.000792564,-1.88E-05,-0.000769838,-0.000289733,-0.00395425,-0.000203553,-0.003310418,-0.008553656,-0.005062453,-0.00600216,-0.007315449,-0.009689065,-0.009496871,-0.002164764,-6.09E-05,-0.000410267,0.00014503259824298292,-0.000743761,-0.004330078,-0.000642249,-0.005146969,-0.006895392,-0.000121171,-0.000464793,-0.002553621,-0.008125695,-0.006002526,-0.00080795,-0.002067716,-0.009769852,-0.000469304,-0.001090297,-0.002968767,-0.002942494,-0.008457789,-0.002729568,-0.000154804,-0.004079174,-0.000998142,-0.002995103,-0.001519535,-0.003328503,-0.000126511
404,-0.008209787,-0.003396356,-0.001765304,-0.000931727,-0.001492134,-0.000708997,0.00023914857558941265,-0.000252711,5.032943426169693e-05,-0.001305345,-0.003339926,0.0001834663966388315,-0.003710381,9.081040411214778e-05,-0.002931938,-0.007774887,-0.007201586,-0.000213872,-0.004407204,-0.004601473,-0.000157916,-0.006869709,-0.00620511,9.708965027420638e-05,-0.008160745,-0.00335465,0.0002462561723807506,-0.005502497,-5.83E-05,-0.000278826,-0.000125731,-0.007220187,-0.00464728,-0.005948124,-0.006313233,-0.004972832,-0.000377988,-0.000781159,-1.87E-05,-0.000768071,-0.000290486,-0.00399171,-0.000203148,-0.0033482,-0.008625172,-0.005102235,-0.006039916,-0.007349193,-0.009703377,-0.009527151,-0.00215507,-6.42E-05,-0.000405509,0.00014029221036106657,-0.000754909,-0.004375831,-0.000643212,-0.005181069,-0.006900576,-0.000118439,-0.000458941,-0.00257458,-0.008143501,-0.006039819,-0.000798743,-0.002050883,-0.009803434,-0.000468291,-0.001086547,-0.002976416,-0.00293611,-0.008507497,-0.002747518,-0.000152043,-0.004105078,-0.000992263,-0.003042396,-0.001513189,-0.00335246,-0.000131673
406,-0.008220581,-0.003427858,-0.00175732,-0.000926804,-0.001487966,-0.000711834,0.00023143985936929914,-0.000248368,4.808670485945947e-05,-0.001311162,-0.003355125,0.00017682369422008067,-0.003687948,8.605630220481615e-05,-0.002935635,-0.007822681,-0.007231916,-0.000218058,-0.00442953,-0.004604886,-0.000158136,-0.006920222,-0.006253837,9.664127254430326e-05,-0.008173572,-0.003370054,0.00024374914320860253,-0.005537168,-6.12E-05,-0.000280141,-0.000129177,-0.007288592,-0.004628218,-0.005974454,-0.006363281,-0.005007254,-0.000373643,-0.000771355,-1.78E-05,-0.000768071,-0.000291231,-0.004028723,-0.000202315,-0.003382653,-0.008690939,-0.005138431,-0.006075127,-0.007381967,-0.009713773,-0.009551931,-0.002144608,-6.55E-05,-0.000401483,0.00013641177362611856,-0.00076477,-0.004417098,-0.000644398,-0.005212221,-0.006903629,-0.000117828,-0.000455827,-0.00259358,-0.008159884,-0.006073347,-0.00079333,-0.002036035,-0.009832907,-0.00046689,-0.001081644,-0.00298246,-0.002930611,-0.008551391,-0.002764164,-0.000150045,-0.004129456,-0.000986654,-0.003087642,-0.001506591,-0.003371852,-0.000135257
408,-0.008230358,-0.003457744,-0.001748962,-0.000922076,-0.001483253,-0.000714404,0.0002250883387738933,-0.000245772,4.66411715619523e-05,-0.001314874,-0.003367296,0.00017280665455375908,-0.003668575,8.305508823982954e-05,-0.002939017,-0.007866076,-0.007260682,-0.00021765,-0.004450069,-0.004606136,-0.000157898,-0.006965294,-0.006297983,9.707740705727533e-05,-0.008182054,-0.003382351,0.00024090645517289855,-0.005567159,-6.26E-05,-0.000280785,-0.000131735,-0.007352042,-0.004607703,-0.006008057,-0.006410282,-0.005038408,-0.000369229,-0.00076315,-1.62E-05,-0.000769837,-0.000291968,-0.004065287,-0.000201054,-0.003413777,-0.008750956,-0.00517104,-0.006107793,-0.007413771,-0.009720254,-0.009571212,-0.002133377,-6.46E-05,-0.00039819,0.0001333912880381388,-0.000773344,-0.004453879,-0.000645808,-0.005240425,-0.006904553,-0.000119339,-0.00045545,-0.002610621,-0.008174846,-0.006103109,-0.000791709,-0.002023172,-0.009858273,-0.0004651,-0.001075589,-0.002986897,-0.002925997,-0.008589469,-0.002779504,-0.000148808,-0.004152306,-0.000981316,-0.003130839,-0.001499741,-0.003386682,-0.000137263
410,-0.008242667,-0.003487719,-0.001738256,-0.000919126,-0.001480083,-0.000715909,0.00022020636409759514,-0.000244809,4.1749313052675514e-05,-0.001314924,-0.003374607,0.00017098259436012212,-0.003655997,8.079455195638685e-05,-0.002941799,-0.007904793,-0.007290032,-0.000201108,-0.004464345,-0.004600786,-0.000158492,-0.00700249,-0.006334633,0.00010247963355890473,-0.008182552,-0.003390908,0.0002393574399721399,-0.005589823,-5.55E-05,-0.000281159,-0.000132755,-0.007409243,-0.004582772,-0.006060504,-0.006456031,-0.005069631,-0.000367658,-0.000759527,-1.28E-05,-0.000774818,-0.000292418,-0.004100669,-0.000196327,-0.003441088,-0.008803082,-0.005195988,-0.006135778,-0.007445416,-0.00972676,-0.009586855,-0.002124261,-6.21E-05,-0.000397964,0.00012853805745873822,-0.000786734,-0.004488924,-0.000647716,-0.005264427,-0.00689995,-0.000121068,-0.00046124,-0.002622231,-0.008186214,-0.006126071,-0.000797917,-0.00201098,-0.009879061,-0.000460814,-0.001068065,-0.002990215,-0.002924977,-0.00862495,-0.002792445,-0.000147151,-0.004177854,-0.000976295,-0.003172851,-0.001495167,-0.003395427,-0.000143236
412,-0.008252118,-0.003515476,-0.001729354,-0.000916882,-0.001482089,-0.000718927,0.0002104665271992688,-0.00024721,4.5401901319496144e-05,-0.001312929,-0.003381386,0.00017874742827405114,-0.003640622,8.065279394349045e-05,-0.002942741,-0.007943597,-0.007309337,-0.000195765,-0.004482699,-0.004597973,-0.000155678,-0.007038026,-0.006371295,0.00010489715617883401,-0.008184257,-0.003393768,0.000232540222610454,-0.005612402,-6.14E-05,-0.000283812,-0.000130299,-0.00746441,-0.004561512,-0.006100279,-0.006496434,-0.005093706,-0.000361831,-0.000754833,-1.43E-05,-0.000785883,-0.000295165,-0.004140503,-0.000194143,-0.003466701,-0.008864451,-0.00522304,-0.006165031,-0.007479813,-0.009722634,-0.009595792,-0.002110874,-5.51E-05,-0.000394233,0.0001266168603345152,-0.000793606,-0.004514904,-0.000650271,-0.005290308,-0.006895625,-0.000129158,-0.000467351,-0.00263566,-0.008200091,-0.006147894,-0.000801886,-0.002005726,-0.009897154,-0.000462198,-0.001056834,-0.002991839,-0.002923527,-0.008652862,-0.002807414,-0.00014888,-0.004196126,-0.000966602,-0.003211745,-0.001489285,-0.003401616,-0.000134433
414,-0.008252444,-0.003535409,-0.001720676,-0.000909402,-0.001466355,-0.000718695,0.00021649652635973935,-0.000246751,4.542177324410549e-05,-0.001317198,-0.003388834,0.0001727493296535522,-0.003630351,8.027869978646381e-05,-0.002948058,-0.007977086,-0.007335333,-0.000188431,-0.004500832,-0.004599211,-0.00015367,-0.007067652,-0.006404663,0.00010723585655789467,-0.008182378,-0.003396247,0.0002292284717510251,-0.005626131,-6.08E-05,-0.000279801,-0.000128583,-0.007519373,-0.004546703,-0.00613344,-0.006532526,-0.00511471,-0.000355912,-0.000750341,-8.92E-06,-0.00078763,-0.000293441,-0.00417563,-0.000188661,-0.003485123,-0.008912147,-0.005248048,-0.006185369,-0.007498892,-0.00970812,-0.009593649,-0.002087743,-4.72E-05,-0.000382452,0.00013482882813695688,-0.000789534,-0.004538082,-0.00066109,-0.005308283,-0.006895633,-0.000143044,-0.000474418,-0.002650473,-0.008214722,-0.006173891,-0.000804261,-0.001994349,-0.00991014,-0.000459023,-0.001043978,-0.00298919,-0.002913962,-0.008673199,-0.002819665,-0.000152475,-0.004214547,-0.000967784,-0.003247014,-0.001482753,-0.003406574,-0.000133773
416,-0.008254519,-0.003559314,-0.001718152,-0.000903722,-0.001456914,-0.00072274,0.00021787588121747448,-0.000251821,4.5838054820299454e-05,-0.001323702,-0.003398235,0.00016673394698956987,-0.003609588,8.110120412644342e-05,-0.002957913,-0.007988588,-0.007363635,-0.000196638,-0.004521812,-0.004601323,-0.000155993,-0.007102017,-0.006434761,9.525824616579768e-05,-0.008173831,-0.003398166,0.00023378762883999446,-0.005646831,-5.69E-05,-0.000274012,-0.000124433,-0.007550563,-0.004525457,-0.006159555,-0.006568979,-0.005134955,-0.000348491,-0.000743657,-7.00E-06,-0.000793457,-0.00029041,-0.004202173,-0.000184095,-0.00350308,-0.008929753,-0.005271474,-0.006207169,-0.007522311,-0.009697957,-0.009589719,-0.002068698,-3.90E-05,-0.000376615,0.00013420669245866164,-0.000787594,-0.004556112,-0.000662366,-0.005319097,-0.006894374,-0.00014084,-0.000478683,-0.002661915,-0.008225477,-0.006189918,-0.000810795,-0.001984268,-0.009917337,-0.000454347,-0.001039648,-0.002984902,-0.002910446,-0.00868574,-0.002826497,-0.000153988,-0.004230865,-0.000963721,-0.00328284,-0.001477364,-0.003404156,-0.000121598
418,-0.008250102,-0.00357456,-0.001710027,-0.000902133,-0.001449503,-0.000720932,0.00020978089228203086,-0.000253514,5.918217772949578e-05,-0.001324888,-0.003402888,0.00015623943859274287,-0.003588949,8.005500650276338e-05,-0.002957563,-0.008038563,-0.007384874,-0.000200926,-0.004538923,-0.004598864,-0.000154906,-0.007129882,-0.006461072,9.393444867500175e-05,-0.008172031,-0.003406177,0.000227607180059551,-0.005668418,-6.09E-05,-0.000268014,-0.000126912,-0.007579608,-0.004518876,-0.006174367,-0.006605331,-0.005157824,-0.000352424,-0.000737108,-5.67E-06,-0.000805566,-0.000289714,-0.004225324,-0.000189468,-0.003523903,-0.008945537,-0.005297152,-0.006227358,-0.007542253,-0.009689471,-0.009587961,-0.002051687,-3.56E-05,-0.000373562,0.00012735570037960886,-0.000786019,-0.004567874,-0.000658385,-0.005332966,-0.006883624,-0.000142597,-0.000480108,-0.002669853,-0.00822663,-0.006209176,-0.000819015,-0.001976414,-0.009917441,-0.000447002,-0.001030546,-0.002982446,-0.00289947,-0.008689288,-0.002836628,-0.000146947,-0.004245703,-0.000953004,-0.003316666,-0.001470251,-0.003401008,-0.000113311
