sample,L_nm,d_nm,w_nm,theta_deg,g_factor,cluster,d4L
3-5,141.3775,52.304,24.478,34.7,0.08563,1,1058083423.7224838
5-2,134.04,58.01,25.9155,34.627,0.0741,1,1517909506.9166343
7-2,153.68,81.392,37.457,33.727000000000004,0.16786,1,6744414182.907003
7-3,156.37,83.47149999999999,41.711,38.8775,0.18142,1,7591127885.07848
8-8,153.93,75.23349999999999,37.4195,34.846500000000006,0.14967,1,4931378475.507968
3-4,167.35,66.39750000000001,25.9805,36.7735,0.12646,2,3252614750.195263
3-8,163.55,83.157,31.0975,39.4855,0.20393,2,7820703141.04777
6-6,161.55575,85.0295,34.0905,39.0565,0.23953,2,8445024638.645534
6-7,166.38,75.132,28.391,42.984,0.12327,2,5301526288.773916
8-3,166.69025,73.69200000000001,26.752499999999998,36.712,0.13966,2,4915770190.408094
9-4,157.72,83.19149999999999,37.019,37.239000000000004,0.18832,2,7554445429.900604
10-6,169.73,50.133,28.636,89.8065,0.11614,3,1072144660.2252744
4-9,166.64,85.8355,37.697,43.876,0.23559,3,9045800848.10488
8-7,176.29,53.531000000000006,24.876,89.554,0.09447,3,1447601763.2076492
9-2,195.46,57.68,29.9085,91.1075,0.04171,3,2163509972.0017614
